ABW,SI.POV.NAHC,Aruba,,,,,,,,,,,,,,,,,
AFE,SI.POV.NAHC,Africa Eastern and Southern,,,,,,,,,,,,,,,,,
SSF,SI.POV.NAHC,Sub-Saharan Africa,,,,,,,,,,,,,,,,,
SST,SI.POV.NAHC,Small states,,,,,,,,,,,,,,,,,
STP,SI.POV.NAHC,Sao Tome and Principe,,,,,,,,,,,,,,,,66.7,
SUR,SI.POV.NAHC,Suriname,,,,,,,,,,,,,,,,,
SVK,SI.POV.NAHC,Slovak Republic,,,13.3,11.6,10.6,10.9,11,12,13,13.2,12.8,12.6,12.3,12.7,12.4,12.2,11.9
SVN,SI.POV.NAHC,Slovenia,,,,,,,,,,,,,,13.9,13.3,13.3,12
SWE,SI.POV.NAHC,Sweden,,,,,,13.5,14.4,14.8,15.4,15.2,16,15.6,16.3,16.2,15.8,16.4,17.1
SWZ,SI.POV.NAHC,Eswatini,,,,,,,,63,,,,,,,58.9,,
SXM,SI.POV.NAHC,Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,
SYC,SI.POV.NAHC,Seychelles,,,,,,,,,,,,39.3,,,,,25.3
SYR,SI.POV.NAHC,Syrian Arab Republic,,30.1,,,,35.2,,,,,,,,,,,
TCA,SI.POV.NAHC,Turks and Caicos Islands,,,,,,,,,,,,,,,,,
TCD,SI.POV.NAHC,Chad,,,,,,,,,,,,,,,,,42.3
TEA,SI.POV.NAHC,East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,,,,
TEC,SI.POV.NAHC,Europe & Central Asia (IDA & IBRD countries),,,,,,,,,,,,,,,,,
TGO,SI.POV.NAHC,Togo,,,,,61.7,,,,,58.7,,,,55.1,,,
THA,SI.POV.NAHC,Thailand,32.4,,26.8,,21.9,20,20.4,17.9,16.4,13.2,12.6,10.9,10.5,7.2,8.6,7.9,9.9
TJK,SI.POV.NAHC,Tajikistan,,,,,,,,,,,,34.3,32,31.3,30.3,29.5,27.4
TKM,SI.POV.NAHC,Turkmenistan,,,,,,,,,,,,,,,,,
